  Reactions   	  Enzymes of a reaction  	  Object ID  	  Object ID  	  Reaction-Direction  	  Substrates  	  Left  	  Right  
L-cystathionine → 2-aminoprop-2-enoate + L-homocysteine + H+	"cystathionine-β-lyase / L-cysteine desulfhydrase
negative regulator of MalT activity/cystathionine β-lyase"	"CYSTATHIONINE-BETA-LYASE-CPLX
CPLX0-8092"	RXN-15131	PHYSIOL-LEFT-TO-RIGHT	"L-cystathionine
H+
2-aminoprop-2-enoate
L-homocysteine"	L-cystathionine	"H+
2-aminoprop-2-enoate
L-homocysteine"
L-cystathionine + H2O → ammonium + pyruvate + L-homocysteine	"cystathionine-β-lyase / L-cysteine desulfhydrase
negative regulator of MalT activity/cystathionine β-lyase"	"CYSTATHIONINE-BETA-LYASE-CPLX
CPLX0-8092"	CYSTATHIONINE-BETA-LYASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-cystathionine
ammonium
pyruvate
L-homocysteine"	"L-cystathionine
H2O"	"ammonium
pyruvate
L-homocysteine"
L-cystathionine[periplasm]→ L-cystathionine[cytosol]			TRANS-RXN0-512	LEFT-TO-RIGHT	L-cystathionine	L-cystathionine	L-cystathionine
L-cysteine → 2-aminoprop-2-enoate + hydrogen sulfide + H+	"cystathionine-β-lyase / L-cysteine desulfhydrase
O-acetylserine sulfhydrylase A
cysteine synthase B
negative regulator of MalT activity/cystathionine β-lyase
tryptophanase / L-cysteine desulfhydrase"	"CYSTATHIONINE-BETA-LYASE-CPLX
ACSERLYA-CPLX
ACSERLYB-CPLX
CPLX0-8092
TRYPTOPHAN-CPLX"	RXN-15129	LEFT-TO-RIGHT	"L-cysteine
H+
2-aminoprop-2-enoate
hydrogen sulfide"	L-cysteine	"H+
2-aminoprop-2-enoate
hydrogen sulfide"
L-cysteine + an unsulfurated [sulfur carrier] → L-alanine + a sulfurated [sulfur carrier]	"L-cysteine desulfurase
cysteine desulfurase"	"CPLX0-246
CPLX0-248"	RXN-12588	PHYSIOL-LEFT-TO-RIGHT	"an unsulfurated [sulfur carrier]
L-cysteine
L-alanine
a sulfurated [sulfur carrier]"	"L-cysteine
an unsulfurated [sulfur carrier]"	"L-alanine
a sulfurated [sulfur carrier]"
L-cysteine + H2O → pyruvate + ammonium + hydrogen sulfide	"cystathionine-β-lyase / L-cysteine desulfhydrase
O-acetylserine sulfhydrylase A
cysteine synthase B
negative regulator of MalT activity/cystathionine β-lyase
tryptophanase / L-cysteine desulfhydrase"	"CYSTATHIONINE-BETA-LYASE-CPLX
ACSERLYA-CPLX
ACSERLYB-CPLX
CPLX0-8092
TRYPTOPHAN-CPLX"	LCYSDESULF-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-cysteine
pyruvate
ammonium
hydrogen sulfide"	"L-cysteine
H2O"	"pyruvate
ammonium
hydrogen sulfide"
L-cysteine + L-glutamate + ATP → γ-L-glutamyl-L-cysteine + ADP + phosphate + H+	glutamate—cysteine ligase	GLUTCYSLIG-MONOMER	GLUTCYSLIG-RXN	PHYSIOL-LEFT-TO-RIGHT	"ATP
L-glutamate
L-cysteine
H+
γ-L-glutamyl-L-cysteine
phosphate
ADP"	"L-cysteine
L-glutamate
ATP"	"H+
γ-L-glutamyl-L-cysteine
phosphate
ADP"
L-cysteine + O-succinyl-L-homoserine → succinate + L-cystathionine + H+	O-succinylhomoserine(thiol)-lyase / O-succinylhomoserine lyase	O-SUCCHOMOSERLYASE-CPLX	O-SUCCHOMOSERLYASE-RXN	LEFT-TO-RIGHT	"O-succinyl-L-homoserine
L-cysteine
H+
succinate
L-cystathionine"	"L-cysteine
O-succinyl-L-homoserine"	"H+
succinate
L-cystathionine"
L-cysteine desulfurase + L-cysteine → an S-sulfanyl-[L-cysteine desulfurase] + L-alanine	cysteine desulfurase	CPLX0-248	RXN-15881	PHYSIOL-LEFT-TO-RIGHT	"L-cysteine
an [L-cysteine desulfurase]
an S-sulfanyl-[L-cysteine desulfurase]
L-alanine"	"an [L-cysteine desulfurase]
L-cysteine"	"an S-sulfanyl-[L-cysteine desulfurase]
L-alanine"
L-cysteine[cytosol]→ L-cysteine[periplasm]	"O-Acetylserine/cysteine export protein
O-acetylserine/cysteine exporter"	"EG12445-MONOMER
EG11639-MONOMER"	RXN0-1924	LEFT-TO-RIGHT	L-cysteine	L-cysteine	L-cysteine
L-cysteine[cytosol]+ ATP + H2O → L-cysteine[periplasm]+ ADP + phosphate + H+	glutathione / L-cysteine exporter CydDC	ABC-6-CPLX	RXN0-3	PHYSIOL-LEFT-TO-RIGHT	"H2O
ATP
L-cysteine
ADP
phosphate
H+"	"L-cysteine
ATP
H2O"	"L-cysteine
ADP
phosphate
H+"
L-cysteine[periplasm]+ ATP + H2O → L-cysteine[cytosol]+ ADP + phosphate + H+	cystine / cysteine ABC transporter	CPLX0-8152	TRANS-RXN-265	PHYSIOL-LEFT-TO-RIGHT	"H2O
ATP
L-cysteine
phosphate
H+
ADP"	"L-cysteine
ATP
H2O"	"L-cysteine
phosphate
H+
ADP"
L-cysteine[periplasm]+ H+[periplasm]→ L-cysteine[cytosol]+ H+[cytosol]	cystine/cysteine:cation symporter	G6934-MONOMER	TRANS-RXN-287	PHYSIOL-LEFT-TO-RIGHT	"L-cysteine
H+"	"L-cysteine
H+"	"L-cysteine
H+"
L-cysteinyl-glycine + H2O → L-cysteine + glycine	"aminopeptidase N
aminopeptidase B
aminopeptidase A/I and DNA-binding transcriptional repressor
peptidase D"	"EG10696-MONOMER
CPLX0-8122
CPLX0-3061
CPLX0-3001"	RXN-6622	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-cysteinyl-glycine
L-cysteine
glycine"	"L-cysteinyl-glycine
H2O"	"L-cysteine
glycine"
L-cystine + 2 glutathione → glutathione disulfide + 2 L-cysteine			1.8.4.4-RXN	PHYSIOL-LEFT-TO-RIGHT	"glutathione
L-cystine
glutathione disulfide
L-cysteine"	"L-cystine
glutathione"	"glutathione disulfide
L-cysteine"
L-cystine[cytosol]→ L-cystine[periplasm]	cystine exporter	EG11902-MONOMER	TRANS-RXN0-507	PHYSIOL-LEFT-TO-RIGHT	L-cystine	L-cystine	L-cystine
L-cystine[periplasm]+ ATP + H2O → L-cystine[cytosol]+ ADP + phosphate + H+	cystine / cysteine ABC transporter	CPLX0-8152	TRANS-RXN0-593	PHYSIOL-LEFT-TO-RIGHT	"H2O
ATP
L-cystine
phosphate
H+
ADP"	"L-cystine
ATP
H2O"	"L-cystine
phosphate
H+
ADP"
L-cystine[periplasm]+ H+[periplasm]→ L-cystine[cytosol]+ H+[cytosol]	cystine/cysteine:cation symporter	G6934-MONOMER	TRANS-RXN-285	LEFT-TO-RIGHT	"L-cystine
H+"	"L-cystine
H+"	"L-cystine
H+"
L-dehydro-ascorbate + H2O → dehydroascorbate (bicyclic form)			RXN-12862	LEFT-TO-RIGHT	"H2O
L-dehydro-ascorbate
dehydroascorbate (bicyclic form)"	"L-dehydro-ascorbate
H2O"	dehydroascorbate (bicyclic form)
L-dopa + oxygen → 4,5-seco-dopa + H+	4,5-DOPA dioxygenase extradiol	EG11166-MONOMER	RXN-8460	PHYSIOL-LEFT-TO-RIGHT	"oxygen
L-dopa
H+
4,5-seco-dopa"	"L-dopa
oxygen"	"H+
4,5-seco-dopa"
L-fucose[periplasm]+ H+[periplasm]→ L-fucose[cytosol]+ H+[cytosol]	fucose:H+ symporter	FUCP-MONOMER	TRANS-RXN-20	LEFT-TO-RIGHT	"L-fucose
H+"	"L-fucose
H+"	"L-fucose
H+"
L-fuculose + ATP → L-fuculose 1-phosphate + ADP + H+	L-fuculokinase	FUCULOKIN-MONOMER	FUCULOKIN-RXN	LEFT-TO-RIGHT	"ATP
L-fuculose
H+
L-fuculose 1-phosphate
ADP"	"L-fuculose
ATP"	"H+
L-fuculose 1-phosphate
ADP"
L-fuculose 1-phosphate ↔ (S)-lactaldehyde + glycerone phosphate	L-fuculose-phosphate aldolase	CPLX0-7633	FUCPALDOL-RXN	REVERSIBLE	"L-fuculose 1-phosphate
(S)-lactaldehyde
glycerone phosphate"	L-fuculose 1-phosphate	"(S)-lactaldehyde
glycerone phosphate"
L-galactono-1,5-lactone → L-galactono-1,4-lactone			RXN-15925	LEFT-TO-RIGHT	"L-galactono-1,5-lactone
L-galactono-1,4-lactone"	L-galactono-1,5-lactone	L-galactono-1,4-lactone
L-galactose[periplasm]+ H+[periplasm]→ L-galactose[cytosol]+ H+[cytosol]	fucose:H+ symporter	FUCP-MONOMER	RXN0-7222	PHYSIOL-LEFT-TO-RIGHT	"L-galactose
H+"	"L-galactose
H+"	"L-galactose
H+"
L-glutamate ↔ D-glutamate	glutamate racemase	GLUTRACE-MONOMER	GLUTRACE-RXN	REVERSIBLE	"L-glutamate
D-glutamate"	L-glutamate	D-glutamate
L-glutamate + 7,8-dihydropteroate + ATP → ADP + 7,8-dihydrofolate monoglutamate + phosphate + H+	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase	FOLC-MONOMER	DIHYDROFOLATESYNTH-RXN	PHYSIOL-LEFT-TO-RIGHT	"ATP
7,8-dihydropteroate
L-glutamate
H+
7,8-dihydrofolate monoglutamate
phosphate
ADP"	"L-glutamate
7,8-dihydropteroate
ATP"	"H+
7,8-dihydrofolate monoglutamate
phosphate
ADP"
L-glutamate + acetyl-CoA ↔ N-acetyl-L-glutamate + coenzyme A + H+	N-acetylglutamate synthase	N-ACETYLTRANSFER-CPLX	N-ACETYLTRANSFER-RXN	REVERSIBLE	"acetyl-CoA
L-glutamate
H+
N-acetyl-L-glutamate
coenzyme A"	"L-glutamate
acetyl-CoA"	"H+
N-acetyl-L-glutamate
coenzyme A"
L-glutamate + ATP → γ-L-glutamyl 5-phosphate + ADP	glutamate 5-kinase	GLUTKIN-CPLX	GLUTKIN-RXN	LEFT-TO-RIGHT	"ATP
L-glutamate
γ-L-glutamyl 5-phosphate
ADP"	"L-glutamate
ATP"	"γ-L-glutamyl 5-phosphate
ADP"
L-glutamate + H+→ CO2+ 4-aminobutanoate	"glutamate decarboxylase B
glutamate decarboxylase A"	"GLUTDECARBOXB-CPLX
GLUTDECARBOXA-CPLX"	GLUTDECARBOX-RXN	LEFT-TO-RIGHT	"L-glutamate
H+
CO2
4-aminobutanoate"	"H+
L-glutamate"	"CO2
4-aminobutanoate"
L-glutamate + NADP++ H2O ↔ ammonium + 2-oxoglutarate + NADPH + H+	"glutamate dehydrogenase
glutamate synthase"	"GDHA-CPLX
GLUTAMATESYN-CPLX"	GLUTDEHYD-RXN	REVERSIBLE	"NADP+
H2O
L-glutamate
H+
ammonium
2-oxoglutarate
NADPH"	"L-glutamate
H2O
NADP+"	"H+
ammonium
2-oxoglutarate
NADPH"
L-glutamate-5-semialdehyde + NAD++ H2O → L-glutamate + NADH + 2 H+	PutA DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase	PUTA-CPLX	RXN-14116	IRREVERSIBLE-LEFT-TO-RIGHT	"NAD+
H2O
L-glutamate-5-semialdehyde
L-glutamate
NADH
H+"	"L-glutamate-5-semialdehyde
H2O
NAD+"	"L-glutamate
NADH
H+"
L-glutamate[periplasm]+ 2 H+[periplasm]→ L-glutamate[cytosol]+ 2 H+[cytosol]	glutamate/aspartate : H+symporter GltP	GLTP-MONOMER	TRANS-RXN-162	LEFT-TO-RIGHT	"H+
L-glutamate"	"H+
L-glutamate"	"H+
L-glutamate"
L-glutamine + 2-oxoglutarate + NADPH + H+→ 2 L-glutamate + NADP+	glutamate synthase	GLUTAMATESYN-CPLX	GLUTAMATESYN-RXN	PHYSIOL-RIGHT-TO-LEFT	"NADP+
L-glutamate
H+
L-glutamine
2-oxoglutarate
NADPH"	"L-glutamate
NADP+"	"H+
L-glutamine
2-oxoglutarate
NADPH"
L-glutamine + chorismate ↔ 4-amino-4-deoxychorismate + L-glutamate	4-amino-4-deoxychorismate synthase	PABASYN-CPLX	PABASYN-RXN	REVERSIBLE	"chorismate
L-glutamine
4-amino-4-deoxychorismate
L-glutamate"	"L-glutamine
chorismate"	"4-amino-4-deoxychorismate
L-glutamate"
L-glutamine + H2O → L-glutamate + ammonium	"glutaminase 1
glutaminase 2
imidazole glycerol phosphate synthase
GMP synthetase
CTP synthase
carbamoyl phosphate synthetase
asparagine synthetase B
glutamate synthase"	"CPLX0-7694
CPLX0-7695
GLUTAMIDOTRANS-CPLX
GMP-SYN-CPLX
CTPSYN-CPLX
CARBPSYN-CPLX
ASNSYNB-CPLX
GLUTAMATESYN-CPLX"	GLUTAMIN-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-glutamine
L-glutamate
ammonium"	"L-glutamine
H2O"	"L-glutamate
ammonium"
L-glutamine + L-aspartate + ATP + H2O → L-glutamate + L-asparagine + AMP + diphosphate + H+	asparagine synthetase B	ASNSYNB-CPLX	ASNSYNB-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
ATP
L-aspartate
L-glutamine
H+
L-glutamate
L-asparagine
diphosphate
AMP"	"L-glutamine
L-aspartate
ATP
H2O"	"H+
L-glutamate
L-asparagine
diphosphate
AMP"
L-glutamine + XMP + ATP + H2O → L-glutamate + GMP + AMP + diphosphate + 2 H+	GMP synthetase	GMP-SYN-CPLX	GMP-SYN-GLUT-RXN	PHYSIOL-LEFT-TO-RIGHT	"ATP
XMP
L-glutamine
H2O
H+
L-glutamate
GMP
diphosphate
AMP"	"H2O
L-glutamine
XMP
ATP"	"H+
L-glutamate
GMP
diphosphate
AMP"
L-glyceraldehyde 3-phosphate + H2O → L-glyceraldehyde + phosphate	"sugar phosphatase
hexitol phosphatase A
sugar phosphatase YidA
phosphosugar phosphatase YigL
alkaline phosphatase"	"G6425-MONOMER
G7187-MONOMER
EG11195-MONOMER
EG11470-MONOMER
ALKAPHOSPHA-CPLX"	RXN0-7251	PHYSIOL-LEFT-TO-RIGHT	"H2O
L-glyceraldehyde 3-phosphate
L-glyceraldehyde
phosphate"	"L-glyceraldehyde 3-phosphate
H2O"	"L-glyceraldehyde
phosphate"
L-glyceraldehyde 3-phosphate + NADPH + H+→ sn-glycerol 3-phosphate + NADP+	L-glyceraldehyde 3-phosphate reductase	G7558-MONOMER	RXN0-5410	RIGHT-TO-LEFT	"NADP+
sn-glycerol 3-phosphate
H+
L-glyceraldehyde 3-phosphate
NADPH"	"sn-glycerol 3-phosphate
NADP+"	"H+
L-glyceraldehyde 3-phosphate
NADPH"
L-glyceraldehyde 3-phosphate[periplasm]→ L-glyceraldehyde 3-phosphate[cytosol]			TRANS-RXN0-535	LEFT-TO-RIGHT	L-glyceraldehyde 3-phosphate	L-glyceraldehyde 3-phosphate	L-glyceraldehyde 3-phosphate
L-glyceraldehyde 3-phosphate[periplasm]+ phosphate[cytosol]→ L-glyceraldehyde 3-phosphate[cytosol]+ phosphate[periplasm]	hexose-6-phosphate:phosphate antiporter	UHPT-MONOMER	TRANS-RXN0-534	LEFT-TO-RIGHT	"L-glyceraldehyde 3-phosphate
phosphate"	"L-glyceraldehyde 3-phosphate
phosphate"	"L-glyceraldehyde 3-phosphate
phosphate"
L-histidinol-phosphate + H2O → histidinol + phosphate	"alkaline phosphatase
imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase"	"ALKAPHOSPHA-CPLX
IMIDHISTID-CPLX"	HISTIDPHOS-RXN	LEFT-TO-RIGHT	"H2O
L-histidinol-phosphate
histidinol
phosphate"	"L-histidinol-phosphate
H2O"	"histidinol
phosphate"
L-homocysteine + an N5-methyltetrahydrofolate → L-methionine + a tetrahydrofolate	cobalamin-dependent methionine synthase	HOMOCYSMETB12-MONOMER	HOMOCYSMETB12-RXN	PHYSIOL-LEFT-TO-RIGHT	"an N5-methyltetrahydrofolate
L-homocysteine
L-methionine
a tetrahydrofolate"	"L-homocysteine
an N5-methyltetrahydrofolate"	"L-methionine
a tetrahydrofolate"
L-homocysteine + N5-methyltetrahydropteroyl tri-L-glutamate → L-methionine + tetrahydropteroyl tri-L-glutamate	"cobalamin-independent homocysteine transmethylase
cobalamin-dependent methionine synthase"	"HOMOCYSMET-MONOMER
HOMOCYSMETB12-MONOMER"	HOMOCYSMET-RXN	LEFT-TO-RIGHT	"L-homocysteine
N5-methyltetrahydropteroyl tri-L-glutamate
L-methionine
tetrahydropteroyl tri-L-glutamate"	"N5-methyltetrahydropteroyl tri-L-glutamate
L-homocysteine"	"L-methionine
tetrahydropteroyl tri-L-glutamate"
L-homocysteine + S-adenosyl-L-methionine → L-methionine + S-adenosyl-L-homocysteine + H+			HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
L-homocysteine
H+
L-methionine
S-adenosyl-L-homocysteine"	"L-homocysteine
S-adenosyl-L-methionine"	"H+
L-methionine
S-adenosyl-L-homocysteine"
L-homoserine + ATP → O-phospho-L-homoserine + ADP + H+	homoserine kinase	HOMOSERKIN-CPLX	HOMOSERKIN-RXN	LEFT-TO-RIGHT	"ATP
L-homoserine
H+
O-phospho-L-homoserine
ADP"	"L-homoserine
ATP"	"H+
O-phospho-L-homoserine
ADP"
L-homoserine + succinyl-CoA → O-succinyl-L-homoserine + coenzyme A	homoserine O-succinyltransferase	HOMSUCTRAN-CPLX	HOMSUCTRAN-RXN	LEFT-TO-RIGHT	"succinyl-CoA
L-homoserine
O-succinyl-L-homoserine
coenzyme A"	"L-homoserine
succinyl-CoA"	"O-succinyl-L-homoserine
coenzyme A"
L-homoserine[cytosol]+ H+[periplasm]→ L-homoserine[periplasm]+ H+[cytosol]	"threonine/homoserine exporter
homoserine/homoserine lactone exporter"	"EG12134-MONOMER
RHTB-MONOMER"	TRANS-RXN-242	LEFT-TO-RIGHT	"H+
L-homoserine"	"H+
L-homoserine"	"H+
L-homoserine"
L-idarate ↔ D-glucarate	D-glucarate dehydratase	GLUCARDEHYDRA-MONOMER	RXN0-5285	REVERSIBLE	"L-idarate
D-glucarate"	L-idarate	D-glucarate
L-idonate + NAD(P)+→ 5-dehydro-D-gluconate + NAD(P)H + H+	L-idonate 5-dehydrogenase	IDONDEHYD-MONOMER	1.1.1.264-RXN	PHYSIOL-LEFT-TO-RIGHT	"L-idonate
NAD(P)+
NAD(P)H
5-dehydro-D-gluconate
H+"	"NAD(P)+
L-idonate"	"NAD(P)H
5-dehydro-D-gluconate
H+"
L-idonate + NAD+→ 5-dehydro-D-gluconate + NADH + H+	L-idonate 5-dehydrogenase	IDONDEHYD-MONOMER	RXN-12107	PHYSIOL-LEFT-TO-RIGHT	"NAD+
L-idonate
5-dehydro-D-gluconate
NADH
H+"	"L-idonate
NAD+"	"5-dehydro-D-gluconate
NADH
H+"
L-idonate + NADP+→ 2-keto-D-gluconate + NADPH + H+			YIAE2-RXN	PHYSIOL-RIGHT-TO-LEFT	"NADPH
2-keto-D-gluconate
H+
L-idonate
NADP+"	"H+
2-keto-D-gluconate
NADPH"	"L-idonate
NADP+"
L-idonate + NADP+→ 5-dehydro-D-gluconate + NADPH + H+	L-idonate 5-dehydrogenase	IDONDEHYD-MONOMER	L-IDONATE-2-DEHYDROGENASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"NADP+
L-idonate
5-dehydro-D-gluconate
NADPH
H+"	"L-idonate
NADP+"	"5-dehydro-D-gluconate
NADPH
H+"
L-idonate[periplasm]+ H+[periplasm]→ L-idonate[cytosol]+ H+[cytosol]	L-idonate/5-ketogluconate/gluconate transporter IdnT	YJGT-MONOMER	TRANS-RXN-181A	PHYSIOL-LEFT-TO-RIGHT	"L-idonate
H+"	"H+
L-idonate"	"L-idonate
H+"
L-isoleucine + 2-oxoglutarate ↔ (S)-3-methyl-2-oxopentanoate + L-glutamate	branched-chain-amino-acid aminotransferase	BRANCHED-CHAINAMINOTRANSFER-CPLX	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	REVERSIBLE	"2-oxoglutarate
L-isoleucine
(S)-3-methyl-2-oxopentanoate
L-glutamate"	"L-isoleucine
2-oxoglutarate"	"(S)-3-methyl-2-oxopentanoate
L-glutamate"
L-isoleucine[cytosol]+ H+[periplasm]→ L-isoleucine[periplasm]+ H+[cytosol]	L-methionine/branched chain amino acid exporter	B4141-MONOMER	TRANS-RXN-281	LEFT-TO-RIGHT	"L-isoleucine
H+"	"L-isoleucine
H+"	"L-isoleucine
H+"
L-kynurenine + 2-oxoglutarate ↔ L-glutamate + 4-(2-aminophenyl)-2,4-dioxobutanoate	aspartate aminotransferase	ASPAMINOTRANS-DIMER	2.6.1.7-RXN	REVERSIBLE	"2-oxoglutarate
L-kynurenine
L-glutamate
4-(2-aminophenyl)-2,4-dioxobutanoate"	"L-kynurenine
2-oxoglutarate"	"L-glutamate
4-(2-aminophenyl)-2,4-dioxobutanoate"
L-leucine + 2-oxoglutarate ↔ 4-methyl-2-oxopentanoate + L-glutamate	"tyrosine aminotransferase
branched-chain-amino-acid aminotransferase"	"TYRB-DIMER
BRANCHED-CHAINAMINOTRANSFER-CPLX"	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	REVERSIBLE	"2-oxoglutarate
L-leucine
4-methyl-2-oxopentanoate
L-glutamate"	"L-leucine
2-oxoglutarate"	"4-methyl-2-oxopentanoate
L-glutamate"
L-leucine[cytosol]+ H+[periplasm]→ L-leucine[periplasm]+ H+[cytosol]	"L-methionine/branched chain amino acid exporter
leucine exporter"	"B4141-MONOMER
G6984-MONOMER"	TRANS-RXN0-270	LEFT-TO-RIGHT	"H+
L-leucine"	"H+
L-leucine"	"H+
L-leucine"
L-lysine ↔ (R)-β-lysine	lysine 2,3-aminomutase	G7836-MONOMER	RXN0-5192	REVERSIBLE	"L-lysine
(R)-β-lysine"	L-lysine	(R)-β-lysine
L-lysine + a tRNAlys+ ATP → an L-lysyl-[tRNAlys] + AMP + diphosphate	"lysine—tRNA ligase, constitutive
lysine—tRNA ligase [multifunctional]"	"LYSS-CPLX
LYSU-CPLX"	LYSINE--TRNA-LIGASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"ATP
a tRNAlys
L-lysine
an L-lysyl-[tRNAlys]
diphosphate
AMP"	"L-lysine
a tRNAlys
ATP"	"an L-lysyl-[tRNAlys]
diphosphate
AMP"
L-lysine + H+→ CO2+ cadaverine	"lysine decarboxylase 2
lysine decarboxylase 1"	"LDC2-CPLX
LYSDECARBOX-CPLX"	LYSDECARBOX-RXN	LEFT-TO-RIGHT	"L-lysine
H+
CO2
cadaverine"	"H+
L-lysine"	"CO2
cadaverine"
L-lysine[cytosol]→ L-lysine[periplasm]	L-lysine exporter	G6458-MONOMER	TRANS-RXN0-569	PHYSIOL-LEFT-TO-RIGHT	L-lysine	L-lysine	L-lysine
L-lysine[periplasm]+ ATP + H2O → L-lysine[cytosol]+ ADP + phosphate + H+	lysine / arginine / ornithine ABC transporter	ABC-3-CPLX	ABC-3-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
ATP
L-lysine
ADP
phosphate
H+"	"L-lysine
ATP
H2O"	"L-lysine
ADP
phosphate
H+"
L-lysine[periplasm]+ H+[periplasm]→ L-lysine[cytosol]+ H+[cytosol]	lysine:H+symporter	LYSP-MONOMER	TRANS-RXN-58	LEFT-TO-RIGHT	"H+
L-lysine"	"H+
L-lysine"	"H+
L-lysine"
L-lyxopyranose → aldehydo-L-lyxose			RXN-14968	LEFT-TO-RIGHT	"L-lyxopyranose
aldehydo-L-lyxose"	L-lyxopyranose	aldehydo-L-lyxose
L-lyxopyranose[periplasm]+ H+[periplasm]→ L-lyxopyranose[cytosol]+ H+[cytosol]	rhamnose/lyxose:H+symporter	RHAT-MONOMER	TRANS-RXN0-236	LEFT-TO-RIGHT	"H+
L-lyxopyranose"	"H+
L-lyxopyranose"	"H+
L-lyxopyranose"
L-methionine + a 2-oxo carboxylate → 4-(methylthio)-2-oxobutanoate + a proteinogenic amino acid	methionine-oxo-acid transaminase, PLP-dependent	G6329-MONOMER	R15-RXN	PHYSIOL-LEFT-TO-RIGHT	"a 2-oxo carboxylate
L-methionine
4-(methylthio)-2-oxobutanoate
a proteinogenic amino acid"	"L-methionine
a 2-oxo carboxylate"	"4-(methylthio)-2-oxobutanoate
a proteinogenic amino acid"
L-methionine + acetyl-CoA → Nα-acetyl-L-methionine + coenzyme A + H+	L-amino acid N-acyltransferase	CPLX0-7962	RXN0-6948	PHYSIOL-LEFT-TO-RIGHT	"acetyl-CoA
L-methionine
Nα-acetyl-L-methionine
coenzyme A
H+"	"L-methionine
acetyl-CoA"	"Nα-acetyl-L-methionine
coenzyme A
H+"
L-methionine + hydrogen peroxide → L-methionine S-oxide + H2O			RXN0-6721	LEFT-TO-RIGHT	"hydrogen peroxide
L-methionine
L-methionine S-oxide
H2O"	"L-methionine
hydrogen peroxide"	"L-methionine S-oxide
H2O"
L-methionine + hydrogen peroxide → L-methionine-(R)-S-oxide + H2O			RXN0-7188	PHYSIOL-LEFT-TO-RIGHT	"hydrogen peroxide
L-methionine
L-methionine-(R)-S-oxide
H2O"	"L-methionine
hydrogen peroxide"	"L-methionine-(R)-S-oxide
H2O"
L-methionine + hydrogen peroxide → L-methionine-(S)-S-oxide + H2O			RXN0-7187	PHYSIOL-LEFT-TO-RIGHT	"hydrogen peroxide
L-methionine
L-methionine-(S)-S-oxide
H2O"	"L-methionine
hydrogen peroxide"	"L-methionine-(S)-S-oxide
H2O"
L-methionine S-oxide[periplasm]+ ATP + H2O → L-methionine S-oxide[cytosol]+ ADP + phosphate + H+	L-methionine/D-methionine ABC transporter	METNIQ-METHIONINE-ABC-CPLX	TRANS-RXN0-511	LEFT-TO-RIGHT	"ATP
H2O
L-methionine S-oxide
phosphate
H+
ADP"	"L-methionine S-oxide
H2O
ATP"	"L-methionine S-oxide
phosphate
H+
ADP"
L-methionine-(R)-S-oxide + a reduced thioredoxin → L-methionine + an oxidized thioredoxin + H2O	"methionine sulfoxide reductase B
free methionine-(R)-sulfoxide reductase"	"EG12394-MONOMER
CPLX0-8217"	1.8.4.14-RXN	RIGHT-TO-LEFT	"H2O
an oxidized thioredoxin
L-methionine
L-methionine-(R)-S-oxide
a reduced thioredoxin"	"L-methionine
an oxidized thioredoxin
H2O"	"L-methionine-(R)-S-oxide
a reduced thioredoxin"
L-methionine-(R)-S-oxide[periplasm]+ ATP + H2O → L-methionine-(R)-S-oxide[cytosol]+ ADP + phosphate + H+	L-methionine/D-methionine ABC transporter	METNIQ-METHIONINE-ABC-CPLX	RXN0-7185	PHYSIOL-LEFT-TO-RIGHT	"ATP
H2O
L-methionine-(R)-S-oxide
phosphate
H+
ADP"	"L-methionine-(R)-S-oxide
H2O
ATP"	"L-methionine-(R)-S-oxide
phosphate
H+
ADP"
L-methionine-(S)-S-oxide + a reduced thioredoxin → L-methionine + an oxidized thioredoxin + H2O	"biotin sulfoxide reductase
methionine sulfoxide reductase A"	"EG10124-MONOMER
EG11433-MONOMER"	1.8.4.13-RXN	RIGHT-TO-LEFT	"H2O
an oxidized thioredoxin
L-methionine
L-methionine-(S)-S-oxide
a reduced thioredoxin"	"L-methionine
an oxidized thioredoxin
H2O"	"L-methionine-(S)-S-oxide
a reduced thioredoxin"
L-methionine-(S)-S-oxide[periplasm]+ ATP + H2O → L-methionine-(S)-S-oxide[cytosol]+ ADP + phosphate + H+	L-methionine/D-methionine ABC transporter	METNIQ-METHIONINE-ABC-CPLX	RXN0-7186	PHYSIOL-LEFT-TO-RIGHT	"ATP
H2O
L-methionine-(S)-S-oxide
phosphate
H+
ADP"	"L-methionine-(S)-S-oxide
H2O
ATP"	"L-methionine-(S)-S-oxide
phosphate
H+
ADP"
